id_categoria,nom_categoria,descripcion
1,Salas,"Conjuntos de sala que incluyen sofás, sillones individuales, loveseats, mesas de centro, esquineros y accesorios decorativos diseñados para brindar confort y estilo al espacio de convivencia principal del hogar."
2,Comedores,"Mesas de comedor de distintos tamaños y materiales, con juegos de sillas a juego o combinadas, ideales para crear ambientes acogedores para comidas familiares y reuniones."
3,Dormitorios,"Muebles esenciales para recámaras, incluyendo camas, bases, burós, cabeceras, tocadores, cómodas, roperos y soluciones de almacenamiento personalizadas."
4,Oficina,"Mobiliario funcional y ergonómico para el trabajo desde casa o espacios corporativos, como escritorios, sillas ejecutivas, libreros, archiveros y estaciones de trabajo."
5,Exteriores,"Muebles resistentes a la intemperie para patios, terrazas y jardines, incluyendo sillones, mesas, camastros, sombrillas y comedores al aire libre."
6,Cocina,"Muebles y accesorios que optimizan el espacio y funcionalidad de la cocina, como islas móviles, barras, bancos altos, alacenas y repisas organizadoras."
7,Infantil,"Mobiliario adaptado para bebés, niños y adolescentes, como cunas, camas temáticas, escritorios escolares, organizadores y sillas infantiles seguras y coloridas."
8,Closets,"Sistemas modulares de organización para armarios, incluyendo estantes, cajoneras, barras, puertas corredizas y soluciones a medida para maximizar el espacio."
9,Accesorios,"Artículos decorativos y funcionales que complementan cualquier habitación: lámparas, mesas auxiliares, espejos, alfombras, relojes y floreros."
10,Minimalista,"Mobiliario funcional de líneas limpias y diseños simples, ideal para ambientes modernos, pequeños o de estilo escandinavo."
11,Entretenimiento,"Muebles para equipos de sonido, televisores y consolas de videojuegos, como centros de entretenimiento, racks, paneles murales y repisas multimedia."
12,Decoración,"Elementos que realzan la estética del hogar como cuadros, esculturas, cojines decorativos, cortinas, jarrones y centros de mesa."
13,Almacenamiento,"Muebles auxiliares que ayudan a mantener el orden: baúles, gabinetes, estanterías, bancos con compartimientos y cajas organizadoras."
14,Mascotas,"Camas, casitas, muebles rascadores, comederos y estaciones de descanso especialmente diseñados para perros y gatos."
15,Recibidores,"Muebles para la entrada del hogar, como consolas, percheros, zapateras, bancos y espejos, diseñados para combinar funcionalidad y estilo."
16,Baño,"Soluciones para el baño como gabinetes, muebles bajo lavabo, estanterías flotantes, espejos con luz y organizadores compactos."
17,Gamer,"Escritorios ergonómicos, sillas gamer, estantes y soportes diseñados especialmente para jugadores y streamers."
18,Industrial,"Mobiliario con diseño industrial, combinando metal y madera, ideal para lofts y espacios modernos con carácter robusto y urbano."
19,Vintage,"Muebles de inspiración retro o clásica, restaurados o de estilo antiguo, para quienes buscan una decoración nostálgica y elegante."
20,Promociones,"Productos de todas las categorías con descuentos especiales por temporada, liquidaciones, paquetes promocionales o ventas exclusivas por tiempo limitado."