index,Place_name,Address1,Hours,Phone,Location,Reviewscount,Total_score,website,Category,Claimed,Latitude,Longitude,Place_id,Cid,Featured_Image,reviewurl
1,"Muebles Troncoso Matriz","Francisco del Paso y Troncoso 504, Jardín Balbuena, Venustiano Carranza, 15900 Ciudad de México, CDMX","domingo:[11:30 a.m.-9 p.m.],lunes:[11 a.m.-8:30 p.m.],martes:[11 a.m.-8:30 p.m.],miércoles:[11 a.m.-8:30 p.m.],jueves:[11 a.m.-8:30 p.m.],viernes:[11 a.m.-8:30 p.m.],sábado:[11:30 a.m.-9 p.m.]","55 5650 4013","https://www.google.com/maps?cid=0x85d1febd3062db25:0xed7641ae3ea4ceb0",679,4.2,"mueblestroncoso.com.mx","Tienda de muebles","yes",19.410623899999997,-99.1126147,"ChIJJdtiML3-0YURsM6kPq5Bdu0","0x85d1febd3062db25:0xed7641ae3ea4ceb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrF9TBd2ITppf1UH8ZC7zOU9dD8OQxf5M81CaX3F2q0f8CvGhKvBRb17Sp2QGwRPwXn8aewNKQVZ8aHBotBCf_5at9rw4LkDxjYYaBQf9dm8fPG3Jjj5rNR5vPAUAArtXjXmm2d=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJJdtiML3-0YURsM6kPq5Bdu0&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
2,"InCassa Muebles CDMX","Av Sonora 85, Roma Nte., Cuauhtémoc, 06700 Cuauhtémoc, CDMX","domingo:[11 a.m.-7 p.m.],lunes:[11 a.m.-7 p.m.],martes:[11 a.m.-7 p.m.],miércoles:[11 a.m.-7 p.m.],jueves:[11 a.m.-7 p.m.],viernes:[11 a.m.-7 p.m.],sábado:[11 a.m.-7 p.m.]","55 5837 4814","https://www.google.com/maps?cid=0x85d1ff69c57f62df:0xeff276f22c6a0b4c",3346,4.9,"incassa.mx","Tienda de muebles","yes",19.417669,-99.1715904,"ChIJ32J_xWn_0YURTAtqLPJ28u8","0x85d1ff69c57f62df:0xeff276f22c6a0b4c","https://lh3.googleusercontent.com/p/AF1QipMJtHD_vPyFoW-09fpV16RwRQZ-FHrOQXjnZA9j=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ32J_xWn_0YURTAtqLPJ28u8&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
3,"B de M Bodega de Muebles","Martinez de Alba 91, Moctezuma 1ra Secc, Venustiano Carranza, 15500 Ciudad de México, CDMX","domingo:[Cerrado],lunes:[10 a.m.-7 p.m.],martes:[10 a.m.-7 p.m.],miércoles:[10 a.m.-7 p.m.],jueves:[10 a.m.-7 p.m.],viernes:[10 a.m.-7 p.m.],sábado:[10 a.m.-5:30 p.m.]","","https://www.google.com/maps?cid=0x85d1feabd1013669:0xdf9e252b8b5e6dd2",21,4.3,"","Tienda de muebles","yes",19.4294787,-99.1047682,"ChIJaTYB0av-0YUR0m1eiyslnt8","0x85d1feabd1013669:0xdf9e252b8b5e6dd2","https://lh3.googleusercontent.com/p/AF1QipPzlio0awaWoqj8FlSXy3LcKtNK3iJ6HmyMxNEl=w80-h142-k-no","https://search.google.com/local/reviews?placeid=ChIJaTYB0av-0YUR0m1eiyslnt8&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
4,"Deurope Muebles Sámano","Av. Río Churubusco 2559, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX","domingo:[11 a.m.-8 p.m.],lunes:[11 a.m.-8 p.m.],martes:[11 a.m.-8 p.m.],miércoles:[11 a.m.-8 p.m.],jueves:[11 a.m.-8 p.m.],viernes:[11 a.m.-8 p.m.],sábado:[11 a.m.-8 p.m.]","55 5558 6104","https://www.google.com/maps?cid=0x85d1fc40cf30d0d3:0x3a079e367336b102",326,3.7,"deurope.com.mx","Tienda de muebles","yes",19.407435,-99.0772052,"ChIJ09Awz0D80YURArE2czaeBzo","0x85d1fc40cf30d0d3:0x3a079e367336b102","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrThTHLaFD4i_xqDKXJ4inLEZgk5-s4fAqJYS-gbyLsQdv0ouFWVi7zN08226nz1U2gOGHGLzJlAGyJI6GGQuIafOFhyNC3BhAnMORJFhEEVrRjk8k2iHXOyCYwiXMahXGTnWGM2A=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ09Awz0D80YURArE2czaeBzo&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
5,"La Casa Gris","Sara 4405, Esq, Ferrocarril Hidalgo y Abel Col, Sara 4449, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad de México, CDMX","domingo:[11 a.m.-7 p.m.],lunes:[10 a.m.-8 p.m.],martes:[10 a.m.-8 p.m.],miércoles:[10 a.m.-8 p.m.],jueves:[10 a.m.-8 p.m.],viernes:[10 a.m.-8 p.m.],sábado:[10 a.m.-8 p.m.]","55 5517 3947","https://www.google.com/maps?cid=0x85d1f96b826b7531:0xda735de8c882bb42",3665,4.8,"lacasagris.com","Tienda de muebles","yes",19.462882,-99.1207482,"ChIJMXVrgmv50YURQruCyOhdc9o","0x85d1f96b826b7531:0xda735de8c882bb42","https://lh3.googleusercontent.com/gps-cs-s/AC9h4norqrIaTviE_HIxj9uZbKBJKCAJu3kEoHB-vNPXeAXwb5dOg36tJb4FNd0oBe6Bdb93teb7EX_rG57nOzM8dBPthwLNHsCiqT_Hnlju9abyhF5cp9A9cIqKaWnxO06J449B6jQ=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJMXVrgmv50YURQruCyOhdc9o&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
6,"GAIA Oceania","355 y, Av. del Peñón, C. Ote. 158 Local SB33, Venustiano Carranza, 15530 Ciudad de México, CDMX","domingo:[11 a.m.-9 p.m.],lunes:[11 a.m.-8 p.m.],martes:[11 a.m.-8 p.m.],miércoles:[11 a.m.-8 p.m.],jueves:[11 a.m.-8 p.m.],viernes:[11 a.m.-9 p.m.],sábado:[11 a.m.-9 p.m.]","720 424 0709","https://www.google.com/maps?cid=0x85d1fb785dd9a641:0xbb16c19ce032c8af",93,3.3,"gaiadesign.com.mx","Tienda de muebles,Tienda de mobiliario para dormitorios,Accesorios para muebles,Carpintería,Fábrica de muebles,Tienda de muebles de exterior","yes",19.439152099999998,-99.0945976,"ChIJQabZXXj70YURr8gy4JzBFrs","0x85d1fb785dd9a641:0xbb16c19ce032c8af","https://lh3.googleusercontent.com/p/AF1QipMaalTYuwYd6s5wliayL5Ux2D7LmG5JR1ljjZUi=w139-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJQabZXXj70YURr8gy4JzBFrs&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
7,"IKEA Oceanía","Av. del Peñón 355, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX","domingo:[11 a.m.-10 p.m.],lunes:[11 a.m.-10 p.m.],martes:[11 a.m.-10 p.m.],miércoles:[11 a.m.-10 p.m.],jueves:[11 a.m.-10 p.m.],viernes:[11 a.m.-10 p.m.],sábado:[11 a.m.-10 p.m.]","","https://www.google.com/maps?cid=0x85d1fbcdce338345:0x29aa30171b06b0bb",50306,4.5,"ikea.mx","Tienda de muebles,Tienda de mobiliario para dormitorios,Tienda de artículos para el hogar,Tienda de muebles de cocina,Restaurante sueco","yes",19.440305499999997,-99.093801,"ChIJRYMzzs370YURu7AGGxcwqik","0x85d1fbcdce338345:0x29aa30171b06b0bb","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npe1gPCgMIkWJhFSxk5SW9sGCtXYfJs23YRLG9jrU44Sz3DUlcAMJbtQP3EsbULV66TZwTs_69Y0bC7GUUte7V_zFCcGOSDA3VNLD0HeeOvgRAYtfdr6jsoWLZrLQuI0iR9FXEW5A=w163-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJRYMzzs370YURu7AGGxcwqik&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
8,"Mueblería La Peque","Ote. 146 111, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX","domingo:[10 a.m.-4 p.m.],lunes:[10 a.m.-7:30 p.m.],martes:[10 a.m.-7:30 p.m.],miércoles:[10 a.m.-7:30 p.m.],jueves:[10 a.m.-7:30 p.m.],viernes:[10 a.m.-7:30 p.m.],sábado:[10 a.m.-7:30 p.m.]","55 5571 0389","https://www.google.com/maps?cid=0x85d1feaa5da53c2b:0x474ef4829aa0ec3d",17,4.1,"","Tienda de mobiliario para dormitorios,Tienda de muebles","no",19.4317174,-99.1027532,"ChIJKzylXar-0YURPeygmoL0Tkc","0x85d1feaa5da53c2b:0x474ef4829aa0ec3d","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEfEyv3n5RJhSWy-0MCcWXK66CxbsLWp8hFwukPD_zsKrFLacaXKKDv_g1TWx26ax13kr5JYD4jyC7F0wGrYdVRVssSb2cvzg3fWco11GYeaFDp2E5WdCHYM_aVxc1y9bZFDo3=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJKzylXar-0YURPeygmoL0Tkc&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
9,"Muebles Troncoso Viaducto","Viad. Pdte. Miguel Alemán Valdés 3047, Asturias, Cuauhtémoc, 06760 Ciudad de México, CDMX","domingo:[11:30 a.m.-9 p.m.],lunes:[11 a.m.-8:30 p.m.],martes:[11 a.m.-8:30 p.m.],miércoles:[11 a.m.-8:30 p.m.],jueves:[11 a.m.-8:30 p.m.],viernes:[11 a.m.-8:30 p.m.],sábado:[11:30 a.m.-9 p.m.]","55 5650 4013","https://www.google.com/maps?cid=0x85d1ff1726f3076b:0x248ae61fdea6e7d9",366,4,"mueblestroncoso.com.mx","Tienda de muebles,Tienda de artículos para el hogar","yes",19.403555,-99.1303765,"ChIJawfzJhf_0YUR2eem3h_miiQ","0x85d1ff1726f3076b:0x248ae61fdea6e7d9","https://lh3.googleusercontent.com/gps-cs-s/AC9h4no3bJbSpjNS24PeBmo3njdRwX5OkPQX0Cb74AFbv1K70QEu_j9x1ePqP3TBCwPM6mKsWUIlcC9uXutxG1aJOSzaxLQuwAUaSDxxWYe3SZPmIyobM8HqxJYaS9gnNxS3JaHgfPmr=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJawfzJhf_0YUR2eem3h_miiQ&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
10,"Deurope Muebles Oceanía","Av. del Peñón 355, Moctezuma 2da Secc, Venustiano Carranza, 15530 Ciudad de México, CDMX","domingo:[11 a.m.-8:30 p.m.],lunes:[11 a.m.-8:30 p.m.],martes:[11 a.m.-8:30 p.m.],miércoles:[11 a.m.-8:30 p.m.],jueves:[11 a.m.-8:30 p.m.],viernes:[11 a.m.-8:30 p.m.],sábado:[11 a.m.-8:30 p.m.]","55 9066 8605","https://www.google.com/maps?cid=0x85d1fbee2d5d71a1:0xdb91d5a684ee5ca3",29,3.3,"deurope.com.mx","Tienda de muebles","yes",19.439179,-99.0951089,"ChIJoXFdLe770YURo1zuhKbVkds","0x85d1fbee2d5d71a1:0xdb91d5a684ee5ca3","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nopgX0e3j-UCDijuv-OSMGPDOrjUU6FaKr8RlJLZDZXv9yr2FdJvVLppgbe6GP_pfaGrkMkuLcN6bKZvaAbqZrYHU2rq441k_gUon2fQj9XgEUDYrZNwW2dUY47-l7wcCHABRnQnA=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJoXFdLe770YURo1zuhKbVkds&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
11,"Muebles Para Baño SA De CV","Asistencia Pública 72, Industrial Puerto Aéreo, Venustiano Carranza, 15700 Ciudad de México, CDMX","domingo:[Cerrado],lunes:[9 a.m.-6:30 p.m.],martes:[9 a.m.-6:30 p.m.],miércoles:[9 a.m.-6:30 p.m.],jueves:[9 a.m.-6:30 p.m.],viernes:[9 a.m.-6:30 p.m.],sábado:[9 a.m.-6:30 p.m.]","55 5784 8851","https://www.google.com/maps?cid=0x85d21ce7601f431d:0xf0d1f8d746697809",183,3.9,"gersamex.com.mx","Tienda de muebles","no",19.4200819,-99.0927602,"ChIJHUMfYOcc0oURCXhpRtf40fA","0x85d21ce7601f431d:0xf0d1f8d746697809","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nql5SdVzIcP5Gqo_K4bcLR4irGAHglwj0VV0KviGmFaWxq_ngrOjKZ5Y4W32tQN7qH0_3PEyU0JbqyxaY04ftPULdIOdHoqXw7T2jSBELN4TidK5UvwKQQbQgbo9LRNyFipK928lw=w80-h142-k-no","https://search.google.com/local/reviews?placeid=ChIJHUMfYOcc0oURCXhpRtf40fA&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
12,"Duty Muebles","C. Eduardo Bustamante 114, Adolfo López Mateos, Venustiano Carranza, 15670 Ciudad de México, CDMX","domingo:[10 a.m.-5:30 p.m.],lunes:[10 a.m.-6:30 p.m.],martes:[10 a.m.-6:30 p.m.],miércoles:[Cerrado],jueves:[10 a.m.-6:30 p.m.],viernes:[10 a.m.-6:30 p.m.],sábado:[10 a.m.-5:30 p.m.]","55 6911 4440","https://www.google.com/maps?cid=0x85d1fc64d7ddee39:0x3775cfb99c2c3597",300,4.1,"dutymuebles.com","Tienda de muebles","yes",19.4205362,-99.0708149,"ChIJOe7d12T80YURlzUsnLnPdTc","0x85d1fc64d7ddee39:0x3775cfb99c2c3597","https://lh3.googleusercontent.com/p/AF1QipMgTwK8hXEgPdi-14T0UWH7X_2NtV1L2cPyHwJ3=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJOe7d12T80YURlzUsnLnPdTc&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
13,"Mercado de muebles Lagunilla varios","Juan Álvarez & Ignacio Allende, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX","domingo:[10 a.m.-6 p.m.],lunes:[10 a.m.-6 p.m.],martes:[11 a.m.-6 p.m.],miércoles:[10 a.m.-5 p.m.],jueves:[10 a.m.-6 p.m.],viernes:[10 a.m.-6 p.m.],sábado:[10 a.m.-6 p.m.]","","https://www.google.com/maps?cid=0x85d1f92fab2b26f3:0x97eebde8bb464abc",3028,4.3,"facebook.com","Tienda de muebles","yes",19.4419093,-99.1370503,"ChIJ8yYrqy_50YURvEpGu-i97pc","0x85d1f92fab2b26f3:0x97eebde8bb464abc","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAo_WJzZUfOcUuFzIdZPGQnPKb889tMR03ppV-zBdzG2er0xJl-X05WwrqQaDFdcnNivArNJXw_EqkZrOIZaa-L3UkaOwTOIUXA8Hyn6Y2aGrHX6QMwnPkPJextrbHOSdg8azW=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ8yYrqy_50YURvEpGu-i97pc&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
14,"Muebles Troncoso Tezontle","Alfonso Ortiz Tirado, Canal de Tezontle, CEDA, Iztapalapa, 09020 Ciudad de México, CDMX","domingo:[11:30 a.m.-9 p.m.],lunes:[11 a.m.-8:30 p.m.],martes:[11 a.m.-8:30 p.m.],miércoles:[11 a.m.-8:30 p.m.],jueves:[11 a.m.-8:30 p.m.],viernes:[11 a.m.-8:30 p.m.],sábado:[11:30 a.m.-9 p.m.]","55 5650 4013","https://www.google.com/maps?cid=0x85d1fecd387592c9:0x99f24ceb78b0dd6e",124,4.1,"mueblestroncoso.com.mx","Tienda de muebles","yes",19.3833894,-99.08899269999999,"ChIJyZJ1OM3-0YURbt2weOtM8pk","0x85d1fecd387592c9:0x99f24ceb78b0dd6e","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrL5moR8mqnupwfwxJn3b_IS9GW0aK6tN0N953uAmBqRwZoaii8x8Pj1gmdyZJtieLiI9i1RXEy0GHBk7cfDt1ojsTb70z8Ti7r3PBizQNsLn1u5EBpQD80_TNZcvWxKZNRLjFl1g=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJyZJ1OM3-0YURbt2weOtM8pk&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
15,"El Mueble Perfecto","Calle República de Paraguay 28, Lagunilla, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX","domingo:[10:30 a.m.-6:30 p.m.],lunes:[10 a.m.-7:30 p.m.],martes:[10 a.m.-7:30 p.m.],miércoles:[10 a.m.-7:30 p.m.],jueves:[10 a.m.-7:30 p.m.],viernes:[10 a.m.-7:30 p.m.],sábado:[10 a.m.-7:30 p.m.]","55 5526 3712","https://www.google.com/maps?cid=0x85d1f931d151b501:0x97d064c783192b5b",165,4.2,"elmuebleperfecto.com","Tienda de muebles","yes",19.441869399999998,-99.1342959,"ChIJAbVR0TH50YURWysZg8dk0Jc","0x85d1f931d151b501:0x97d064c783192b5b","https://lh3.googleusercontent.com/p/AF1QipMtRLsXrdALkdWWKyVdu2VSI-KsLs0ZrgWyZjo=w136-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJAbVR0TH50YURWysZg8dk0Jc&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
16,"El Mueble Perfecto","Palma Nte. 83, Lagunilla, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX","domingo:[10 a.m.-8 p.m.],lunes:[10 a.m.-8 p.m.],martes:[10 a.m.-8 p.m.],miércoles:[10 a.m.-8 p.m.],jueves:[10 a.m.-8 p.m.],viernes:[10 a.m.-8 p.m.],sábado:[10 a.m.-8 p.m.]","55 5526 4060","https://www.google.com/maps?cid=0x85d1f9302522d155:0xcaf5d911609bddb0",27,4.5,"elmuebleperfecto.com","Tienda de muebles","yes",19.4430744,-99.13387519999999,"ChIJVdEiJTD50YURsN2bYBHZ9co","0x85d1f9302522d155:0xcaf5d911609bddb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nohLTg81zpRo9xakagXty1uZuJLtiJkekJn5e7e_9J_xOopzykUO5VUGmj6_dGP7Xp8mcINH734RsjsR_siXP_NrrD6covPzFJVWySGHBRBd2JhS9HP7HeCvF8qv1xMlV7C7dBvRw=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJVdEiJTD50YURsN2bYBHZ9co&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
17,"Aladin muebles","Cafetal 415, Pueblo de Iztacalco, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX","domingo:[Cerrado],lunes:[8 a.m.-5 p.m.],martes:[8 a.m.-5 p.m.],miércoles:[8 a.m.-5 p.m.],jueves:[8 a.m.-5 p.m.],viernes:[8 a.m.-5 p.m.],sábado:[8 a.m.-1 p.m.]","55 8106 5386","https://www.google.com/maps?cid=0x85d1fe82b58a7565:0x863394d8a8714202",93,4,"mueblesaladin.com","Tienda de muebles","yes",19.399257,-99.102661,"ChIJZXWKtYL-0YURAkJxqNiUM4Y","0x85d1fe82b58a7565:0x863394d8a8714202","https://lh3.googleusercontent.com/p/AF1QipOkDcLHad1Ko2lAI3be017rOO7rLbgA59L9LL28=w88-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJZXWKtYL-0YURAkJxqNiUM4Y&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
18,"Muebles Dico Oceanía","Av Oceanía 213, Pensador Mexicano, Venustiano Carranza, 15510 Ciudad de México, CDMX","domingo:[10 a.m.-9 p.m.],lunes:[10 a.m.-9 p.m.],martes:[10 a.m.-9 p.m.],miércoles:[10 a.m.-9 p.m.],jueves:[10 a.m.-9 p.m.],viernes:[10 a.m.-9 p.m.],sábado:[10 a.m.-9 p.m.]","55 2834 6455","https://www.google.com/maps?cid=0x85d1fb7b5f6175eb:0xddbdbc6c30a6d0cf",33,3.1,"dico.com.mx","Tienda de muebles","no",19.440939699999998,-99.0930339,"ChIJ63VhX3v70YURz9CmMGy8vd0","0x85d1fb7b5f6175eb:0xddbdbc6c30a6d0cf","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npN7VqGCf9H9HGlwilzW4MKXtF8RTpF67Zivou7EBCz8SLYGMRBvsiMV3Qw3tt0YfIX9cionDr5rlT8zyqHlC-NYenqwr0OJuI35_-uvyafL7tMcD1Ddv8dHIr8ryAdM99KffE4SA=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJ63VhX3v70YURz9CmMGy8vd0&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
19,"Muebles Lagunilla","C. Comonfort 18, Lagunilla, Centro, Cuauhtémoc, 06200 Ciudad de México, CDMX","domingo:[12:30-7 p.m.],lunes:[10 a.m.-6:30 p.m.],martes:[10 a.m.-6:30 p.m.],miércoles:[10 a.m.-6:30 p.m.],jueves:[10 a.m.-6:30 p.m.],viernes:[10 a.m.-6:30 p.m.],sábado:[10 a.m.-6:30 p.m.]","","https://www.google.com/maps?cid=0x85d1f92fc3600923:0x2e527e0244ba213",52,4.3,"","Tienda de muebles","yes",19.443135899999998,-99.1353706,"ChIJIwlgwy_50YURE6JLJOAn5QI","0x85d1f92fc3600923:0x2e527e0244ba213","https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5pvJ4P_AZz59xWu9NV7oKA3VvTx0c57_UCX9RZzW6-dYTeMQIfJW-rmGqda4uyQMrMuwvST4g-aPQ_z682cSDBfSLpctTjvcHd079LyB3tk-6SDVCLyYu1lNZNDEl3KPbTAJy=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJIwlgwy_50YURE6JLJOAn5QI&q=Muebles+CDMX&authuser=0&hl=es&gl=419"
20,"Quality Muebles","Canal Río Churubusco 1635, CEDA, Iztapalapa, 09040 Ciudad de México, CDMX","domingo:[11 a.m.-9 p.m.],lunes:[11 a.m.-9 p.m.],martes:[11 a.m.-9 p.m.],miércoles:[11 a.m.-9 p.m.],jueves:[11 a.m.-9 p.m.],viernes:[11 a.m.-9 p.m.],sábado:[11 a.m.-9 p.m.]","","https://www.google.com/maps?cid=0x85d1fdc456d03189:0xd81b7b7f6634a474",41,3.8,"","Tienda de muebles","yes",19.3774768,-99.09556049999999,"ChIJiTHQVsT90YURdKQ0Zn97G9g","0x85d1fdc456d03189:0xd81b7b7f6634a474","https://lh3.googleusercontent.com/p/AF1QipPowBftTIVJRAxsenmY-uDSGx9DTlQ0uxkfNjlJ=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJiTHQVsT90YURdKQ0Zn97G9g&q=Muebles+CDMX&authuser=0&hl=es&gl=419"